product,consom,unit,tax,currency,geo\time	2019S1 	2018S2 	2018S1 	2017S2 	2017S1 	2016S2 	2016S1 	2015S2 	2015S1 	2014S2 	2014S1 	2013S2 	2013S1 	2012S2 	2012S1 	2011S2 	2011S1 	2010S2 	2010S1 	2009S2 	2009S1 	2008S2 	2008S1 	2007S2 	2007S1 
4100,4142901,GJ_GCV,I_TAX,EUR,AT	16.3033 	16.8200 	16.6133 	17.1662 	16.5900 	17.5200 	17.8500 	18.1300 	18.6000 	18.8700 	19.5100 	19.7600 	19.3700 	19.0500 	18.5300 	18.4400 	17.6700 	17.1700 	16.7900 	16.9600 	17.2800 	: 	: 	14.8400 	: 
4100,4142901,GJ_GCV,I_TAX,EUR,BA	11.9285 	11.5994 	11.5835 	11.6228 	11.1564 	12.3324 	13.8560 	17.2817 	17.2817 	17.2449 	17.2449 	17.2449 	18.4184 	18.4184 	18.4184 	17.7041 	15.5612 	: 	: 	: 	: 	: 	: 	: 	: 
4100,4142901,GJ_GCV,I_TAX,EUR,BE	14.2452 	14.6616 	13.0464 	13.9646 	13.5938 	13.5700 	13.7500 	15.5100 	15.3200 	16.4300 	17.2500 	17.5500 	17.6300 	18.1800 	18.6700 	18.0800 	16.7900 	16.0100 	13.8100 	13.4400 	15.5100 	19.6200 	15.7100 	13.4200 	: 
4100,4142901,GJ_GCV,I_TAX,EUR,BG	12.2752 	11.9654 	10.3804 	10.2630 	8.8762 	7.8280 	9.1829 	10.5021 	12.3786 	12.7978 	13.1046 	12.9768 	13.1864 	14.5772 	13.1353 	12.0104 	10.9162 	11.2723 	8.7125 	7.8996 	11.6321 	9.6789 	7.4957 	6.6264 	: 
4100,4142901,GJ_GCV,I_TAX,EUR,CZ	11.7412 	11.4464 	11.6776 	12.2818 	11.3324 	12.9454 	12.8107 	13.8221 	13.5196 	13.7320 	13.2025 	15.0094 	15.3043 	16.5217 	16.5730 	16.2874 	14.8557 	14.2342 	12.8013 	13.5870 	13.6463 	14.6542 	12.1427 	9.5338 	: 
4100,4142901,GJ_GCV,I_TAX,EUR,DE	13.7492 	13.9361 	13.9028 	14.1350 	14.3800 	14.6900 	14.9600 	15.6800 	15.8500 	15.9900 	16.6600 	17.1200 	17.2500 	16.9800 	16.7700 	16.1000 	16.0300 	15.5600 	14.3000 	13.6500 	15.7000 	18.3700 	16.7100 	15.2700 	: 
4100,4142901,GJ_GCV,I_TAX,EUR,DK	23.0390 	24.1132 	23.6412 	22.5609 	22.8239 	22.5681 	21.8327 	23.0630 	24.0008 	24.5406 	25.2350 	25.6803 	25.7429 	25.3007 	25.6559 	27.1517 	27.4163 	26.0458 	25.7118 	26.6266 	25.5247 	26.2823 	25.7327 	23.7861 	21.9428 
4100,4142901,GJ_GCV,I_TAX,EUR,EA	16.6685 	16.9594 	15.5941 	15.9839 	15.5945 	16.3595 	16.2616 	17.6616 	17.6072 	18.6215 	18.2137 	19.4216 	18.7969 	19.1496 	18.0002 	17.2133 	15.8310 	15.6650 	14.4287 	14.7548 	16.2940 	16.6905 	14.6260 	13.8670 	15.8463 
4100,4142901,GJ_GCV,I_TAX,EUR,EE	12.4038 	11.4812 	10.8242 	9.8700 	11.6500 	8.3200 	9.3600 	10.3100 	13.5200 	13.2700 	13.4800 	12.5700 	14.2200 	13.8100 	13.8300 	11.2800 	10.7900 	10.6337 	10.0156 	8.7086 	10.9100 	12.1982 	9.1227 	6.8807 	: 
4100,4142901,GJ_GCV,I_TAX,EUR,EL	17.0642 	17.9371 	14.6800 e	9.8800 	13.5000 p	10.1500 	10.2900 	11.6800 	12.9500 	15.0100 	16.6500 	16.6300 	17.1500 	18.0600 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
4100,4142901,GJ_GCV,I_TAX,EUR,ES	14.4647 	15.2894 	12.5037 	12.2900 	13.3118 	15.3500 	14.5300 	17.6500 	16.4600 	18.6100 	16.6500 	18.5600 	16.3800 	16.3000 	15.6200 	12.5200 	13.9300 	13.4212 	12.7912 	13.8909 	14.7325 	12.2530 	10.6690 	10.2590 	: 
4100,4142901,GJ_GCV,I_TAX,EUR,EU27	: 	: 	: 	: 	15.0200 	15.8200 	15.9100 	17.6400 	17.3700 	18.3900 	17.6600 	18.7200 	17.9900 	18.5900 	17.3800 	16.5000 	15.1800 	14.9500 	13.9800 	14.1600 	15.4500 	16.0600 	14.1300 	13.4400 	: 
4100,4142901,GJ_GCV,I_TAX,EUR,EU28	16.1159 	16.3324 	14.9528 	15.3814 	15.0008 	15.7621 	15.8719 	17.6117 	17.3474 	18.3171 	17.6233 	18.6705 	17.9569 	18.5526 	17.3596 	16.5256 	15.2061 	14.9432 	13.9692 	14.1351 	15.4196 	15.9824 	14.0419 	13.3663 	15.2593 
4100,4142901,GJ_GCV,I_TAX,EUR,FI	24.2671 	22.5706 	21.1183 	20.3832 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
4100,4142901,GJ_GCV,I_TAX,EUR,FR	17.0118 	18.3660 	16.2066 	16.4649 	15.1206 	16.2500 	15.4700 	17.7500 	18.3600 	20.1600 	18.3400 	21.3600 	19.4200 	21.1900 	18.3200 	17.9200 	15.5400 	15.7000 	13.9700 	14.1100 	14.7900 	14.8920 	12.9600 	13.4800 	: 
4100,4142901,GJ_GCV,I_TAX,EUR,GE	7.4150 	7.0014 	7.0350 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
4100,4142901,GJ_GCV,I_TAX,EUR,HR	13.2455 	12.6247 	11.2988 	11.1513 	11.5465 	12.1657 	14.1190 	14.6859 	15.9296 	15.7206 	15.9302 	16.1029 	17.0180 	17.0215 	15.6184 	14.7797 	13.8195 	13.4596 	11.6249 	9.1323 	8.9296 	7.8215 	7.7231 	7.7657 	8.3140 
