nrg_prc,nrg_cons,currency,geo\time	2018 	2017 	2016S2 	2015S2 	2014S2 	2013S2 	2012S2 	2011S2 	2010S2 	2009S2 	2008S2 	2007S2 
NETC,MWH20-499,EUR,AT	0.0454 	0.0439 	0.0409 	0.0386 	0.0382 	0.0414 	0.0395 	0.0386 	0.0390 	0.0406 	0.0307 	: 
NETC,MWH20-499,EUR,BA	0.0337 	0.0329 	0.0346 	0.0349 	: 	0.0341 	0.0348 	: 	: 	: 	: 	: 
NETC,MWH20-499,EUR,BE	0.0611 	0.0561 	0.0630 	0.0656 	0.0649 	0.0612 	0.0625 	0.0574 	0.0477 	0.0476 	0.0470 	0.0436 
NETC,MWH20-499,EUR,BG	0.0228 	0.0235 	0.0209 	0.0152 	0.0077 	0.0270 	0.0277 	0.0229 	0.0187 	0.0189 	0.0194 	0.0206 
NETC,MWH20-499,EUR,CY	0.0314 	0.0296 d	0.0355 	0.0350 	0.0350 	0.0351 	0.0348 	0.0350 	0.0345 	: 	: 	: 
NETC,MWH20-499,EUR,CZ	0.0569 	0.0496 	0.0669 	0.0711 	0.0714 	0.0799 	0.0795 	0.0760 	0.0638 	0.0512 	0.0570 	0.0489 
NETC,MWH20-499,EUR,DE	0.0541 	0.0557 	0.0492 	0.0458 	0.0419 	0.0437 	0.0361 	0.0366 	0.0350 	0.0355 	0.0349 	0.0375 
NETC,MWH20-499,EUR,DK	0.0404 	0.0410 	0.0315 	0.0283 	0.0287 	0.0317 	0.0302 	0.0292 	0.0264 	0.0262 	0.0239 	0.0406 
NETC,MWH20-499,EUR,EA	0.0397 	0.0399 	0.0402 	0.0395 	0.0388 	0.0373 	0.0406 	0.0385 	0.0359 	0.0353 	0.0323 	0.0354 
NETC,MWH20-499,EUR,EE	0.0395 	0.0414 	0.0429 	0.0432 	0.0435 	0.0446 	0.0315 	0.0351 	0.0339 	0.0307 	0.0300 	0.0292 
NETC,MWH20-499,EUR,EL	0.0248 	0.0300 	0.0265 	0.0259 	0.0340 	0.0241 	0.0281 	0.0281 	0.0328 	0.0303 	: 	: 
NETC,MWH20-499,EUR,ES	0.0261 d	0.0293 d	0.0332 	0.0314 	0.0307 	0.0254 	0.0667 	0.0486 	0.0461 	0.0444 	0.0359 	: 
NETC,MWH20-499,EUR,EU28	0.0392 	0.0396 	0.0395 	0.0398 	0.0395 	0.0382 	0.0411 	0.0389 	0.0358 	0.0345 	0.0333 	0.0377 
NETC,MWH20-499,EUR,FI	0.0358 	0.0351 	0.0341 	0.0300 	0.0306 	0.0311 	0.0303 	0.0290 	0.0281 	0.0262 	0.0244 	0.0233 
NETC,MWH20-499,EUR,FR	0.0404 	0.0375 	0.0407 	0.0403 	0.0401 	0.0390 	0.0386 	: 	: 	: 	: 	: 
NETC,MWH20-499,EUR,GE	0.0224 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NETC,MWH20-499,EUR,HR	0.0489 	0.0484 	0.0479 	0.0467 	0.0467 	0.0468 	0.0475 	0.0422 	0.0424 	0.0425 	0.0432 	0.0410 
NETC,MWH20-499,EUR,HU	0.0398 	0.0328 	0.0336 	0.0309 	0.0327 	0.0314 	0.0358 	: 	0.0312 	0.0366 	0.0496 	0.0454 
NETC,MWH20-499,EUR,IE	0.0648 	0.0598 	0.0551 	0.0418 	0.0457 	0.0481 	0.0446 	0.0410 	0.0421 	0.0470 	0.0309 	: 
NETC,MWH20-499,EUR,IS	0.0343 	: 	0.0349 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NETC,MWH20-499,EUR,IT	0.0219 d	0.0217 d	0.0237 d	0.0287 	0.0289 	0.0263 	0.0308 	0.0339 	0.0290 	0.0263 	0.0244 	: 
NETC,MWH20-499,EUR,LT	0.0379 	0.0361 	0.0391 	0.0369 	0.0420 	0.0445 	0.0704 	0.0651 	0.0610 	0.0545 	0.0583 	0.0553 
NETC,MWH20-499,EUR,LU	0.0436 	0.0380 	0.0447 	0.0328 	0.0322 	0.0313 	0.0306 	0.0317 	0.0350 	0.0340 	0.0310 	0.0310 
NETC,MWH20-499,EUR,LV	0.0563 	0.0620 	0.0617 	0.0518 	0.0519 	0.0497 	0.0474 	0.0507 	0.0441 	0.0410 	0.0365 	0.0377 
NETC,MWH20-499,EUR,MD	0.0306 	0.0241 	0.0239 	0.0208 	: 	: 	: 	: 	: 	: 	: 	: 
NETC,MWH20-499,EUR,ME	0.0473 	: 	0.0509 	0.0502 	0.0508 	0.0525 	0.0473 	0.0541 	: 	: 	: 	: 
NETC,MWH20-499,EUR,MK	0.0334 	0.0329 	0.0436 	0.0042 	: 	: 	: 	: 	: 	: 	: 	: 
NETC,MWH20-499,EUR,MT	0.0240 	0.0250 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0219 
NETC,MWH20-499,EUR,NL	0.0234 	0.0247 	0.0266 	0.0295 	0.0315 	0.0271 	0.0296 	0.0272 	0.0254 	0.0252 	0.0227 	0.0279 
NETC,MWH20-499,EUR,NO	0.0278 	0.0281 	0.0307 	0.0294 	0.0317 	0.0329 	0.0360 	0.0344 	0.0332 	0.0282 	0.0277 	0.0285 
NETC,MWH20-499,EUR,PL	0.0435 	0.0456 	0.0476 	0.0514 	0.0516 	0.0496 	0.0491 	0.0468 	0.0481 	0.0430 	0.0497 	0.0656 
NETC,MWH20-499,EUR,PT	0.0402 	0.0462 	0.0545 	0.0527 	0.0559 	0.0411 	0.0383 	0.0330 	0.0313 	0.0354 	0.0261 	0.0208 
NETC,MWH20-499,EUR,RO	0.0340 	0.0343 	0.0373 	0.0393 	0.0436 	0.0439 	0.0401 	0.0421 	0.0440 	0.0428 	0.0484 	0.0495 
NETC,MWH20-499,EUR,RS	0.0282 	0.0301 	0.0275 	0.0292 	0.0323 	0.0305 	: 	: 	: 	: 	: 	: 
NETC,MWH20-499,EUR,SE	0.0380 	0.0411 	0.0380 	0.0356 	0.0343 	0.0363 	0.0390 	0.0378 	0.0340 	0.0301 	0.0291 	0.0294 
