customer,nrg_prc,product,unit,geo\time	2018 	2017 
HH,NETC_DIST,4100,PC,AT	79.0000 e	81.0000 e
HH,NETC_DIST,4100,PC,BA	14.0000 	14.0000 
HH,NETC_DIST,4100,PC,BE	90.5684 	89.9749 e
HH,NETC_DIST,4100,PC,BG	88.3900 	90.3600 
HH,NETC_DIST,4100,PC,CZ	95.0000 	96.0000 
HH,NETC_DIST,4100,PC,DK	93.0000 	94.0000 
HH,NETC_DIST,4100,PC,EE	: u	77.0000 e
HH,NETC_DIST,4100,PC,EL	83.3800 	: c
HH,NETC_DIST,4100,PC,FR	76.9045 	80.0959 
HH,NETC_DIST,4100,PC,GE	88.0000 	: 
HH,NETC_DIST,4100,PC,HR	75.6100 	74.1400 
HH,NETC_DIST,4100,PC,HU	56.9000 e	56.9023 e
HH,NETC_DIST,4100,PC,IE	75.1791 	68.8042 
HH,NETC_DIST,4100,PC,LT	82.0191 	79.7771 
HH,NETC_DIST,4100,PC,LU	86.2600 	92.1100 
HH,NETC_DIST,4100,PC,LV	87.1800 	87.7000 
HH,NETC_DIST,4100,PC,MD	97.3003 	96.9000 
HH,NETC_DIST,4100,PC,MK	75.5500 	7.0621 
HH,NETC_DIST,4100,PC,NL	82.0000 e	82.0000 e
HH,NETC_DIST,4100,PC,PL	62.2971 	: u
HH,NETC_DIST,4100,PC,PT	96.4200 	97.0000 
HH,NETC_DIST,4100,PC,RO	79.9308 e	77.5914 e
HH,NETC_DIST,4100,PC,RS	100.0000 	100.0000 
HH,NETC_DIST,4100,PC,SE	66.9800 	66.9800 
HH,NETC_DIST,4100,PC,SI	78.0000 	81.0000 
HH,NETC_DIST,4100,PC,SK	87.6000 	88.2300 
HH,NETC_DIST,4100,PC,TR	86.0000 e	83.0000 e
HH,NETC_DIST,4100,PC,UK	93.0000 	93.0000 
HH,NETC_DIST,6000,PC,AT	79.0000 e	82.0000 e
HH,NETC_DIST,6000,PC,BA	79.4937 	80.3500 
HH,NETC_DIST,6000,PC,BE	88.3488 	88.3488 
HH,NETC_DIST,6000,PC,BG	79.7253 	80.5000 
HH,NETC_DIST,6000,PC,CY	68.1241 	: 
HH,NETC_DIST,6000,PC,CZ	89.0000 	91.0000 
HH,NETC_DIST,6000,PC,DK	80.0000 	79.0000 
HH,NETC_DIST,6000,PC,EE	77.0000 e	77.0000 e
HH,NETC_DIST,6000,PC,EL	80.0000 	80.0700 
HH,NETC_DIST,6000,PC,FI	90.0000 	85.0000 
HH,NETC_DIST,6000,PC,FR	78.7238 	78.8258 
HH,NETC_DIST,6000,PC,GE	77.3000 	: 
HH,NETC_DIST,6000,PC,HR	73.3700 	73.3300 
HH,NETC_DIST,6000,PC,HU	81.8812 	79.6175 e
HH,NETC_DIST,6000,PC,IE	79.6500 	82.8884 
HH,NETC_DIST,6000,PC,LT	72.0845 	72.5641 
HH,NETC_DIST,6000,PC,LU	100.0000 	100.0000 
HH,NETC_DIST,6000,PC,LV	77.9000 	77.3400 
HH,NETC_DIST,6000,PC,MD	100.0000 	100.0000 
HH,NETC_DIST,6000,PC,ME	82.9000 	82.9700 
HH,NETC_DIST,6000,PC,MK	78.2230 	78.6897 
HH,NETC_DIST,6000,PC,NL	82.0000 e	82.0000 e
HH,NETC_DIST,6000,PC,NO	77.6937 	80.8000 
HH,NETC_DIST,6000,PC,PL	71.7748 	69.1911 
HH,NETC_DIST,6000,PC,PT	85.4190 	86.0000 
HH,NETC_DIST,6000,PC,RO	85.0129 e	85.1792 e
HH,NETC_DIST,6000,PC,RS	80.5614 	80.7233 
HH,NETC_DIST,6000,PC,SE	87.7900 	87.7900 
HH,NETC_DIST,6000,PC,SI	76.1000 	75.6000 
HH,NETC_DIST,6000,PC,SK	90.1600 	89.6200 e
HH,NETC_DIST,6000,PC,TR	83.8870 e	83.0200 
HH,NETC_DIST,6000,PC,UK	70.0000 	70.0000 
HH,NETC_DIST,6000,PC,XK	88.5667 	84.6060 
HH,NETC_TRANS,4100,PC,AT	20.0000 e	19.0000 e
HH,NETC_TRANS,4100,PC,BA	86.0000 	86.0000 
HH,NETC_TRANS,4100,PC,BE	9.4316 	10.0251 e
HH,NETC_TRANS,4100,PC,BG	11.6100 	9.6400 
HH,NETC_TRANS,4100,PC,CZ	5.0000 	4.0000 
HH,NETC_TRANS,4100,PC,DK	7.0000 	6.0000 
HH,NETC_TRANS,4100,PC,EE	23.0000 	23.0000 
HH,NETC_TRANS,4100,PC,EL	16.6200 	: c
HH,NETC_TRANS,4100,PC,FR	23.0955 	19.9041 
HH,NETC_TRANS,4100,PC,GE	12.0000 	: 
HH,NETC_TRANS,4100,PC,HR	24.3900 	25.8600 
HH,NETC_TRANS,4100,PC,HU	43.1000 e	43.0977 e
HH,NETC_TRANS,4100,PC,IE	24.8209 	31.1958 
HH,NETC_TRANS,4100,PC,LT	17.9809 	20.2229 
HH,NETC_TRANS,4100,PC,LU	13.7400 	7.8900 
HH,NETC_TRANS,4100,PC,LV	12.8200 	12.3000 
HH,NETC_TRANS,4100,PC,MD	2.6997 	3.1000 
HH,NETC_TRANS,4100,PC,MK	24.4500 	92.9379 
HH,NETC_TRANS,4100,PC,NL	18.0000 e	18.0000 e
HH,NETC_TRANS,4100,PC,PL	37.7029 	32.9020 
HH,NETC_TRANS,4100,PC,PT	3.5800 	3.0000 
HH,NETC_TRANS,4100,PC,RO	20.0692 e	22.4086 e
HH,NETC_TRANS,4100,PC,RS	0.0000 	0.0000 
HH,NETC_TRANS,4100,PC,SE	33.0200 	33.0200 
HH,NETC_TRANS,4100,PC,SI	22.0000 	19.0000 
HH,NETC_TRANS,4100,PC,SK	12.4000 	11.7700 
HH,NETC_TRANS,4100,PC,TR	14.0000 e	17.0000 e
HH,NETC_TRANS,4100,PC,UK	7.0000 	7.0000 
HH,NETC_TRANS,6000,PC,AT	21.0000 e	18.0000 e
HH,NETC_TRANS,6000,PC,BA	20.5063 	19.6500 
HH,NETC_TRANS,6000,PC,BE	11.6512 	11.6512 
HH,NETC_TRANS,6000,PC,BG	20.2747 	19.5000 
HH,NETC_TRANS,6000,PC,CY	31.8759 	: 
HH,NETC_TRANS,6000,PC,CZ	11.0000 	9.0000 
HH,NETC_TRANS,6000,PC,DK	20.0000 	21.0000 
HH,NETC_TRANS,6000,PC,EE	23.0000 	23.0000 
HH,NETC_TRANS,6000,PC,EL	20.0000 	19.9300 
HH,NETC_TRANS,6000,PC,FI	10.0000 	15.0000 
HH,NETC_TRANS,6000,PC,FR	21.2762 	21.1742 
HH,NETC_TRANS,6000,PC,GE	22.7000 	: 
HH,NETC_TRANS,6000,PC,HR	26.6300 	26.6700 
HH,NETC_TRANS,6000,PC,HU	18.1188 	20.3825 e
HH,NETC_TRANS,6000,PC,IE	20.3500 	17.1116 
HH,NETC_TRANS,6000,PC,LT	27.9155 	27.4359 
HH,NETC_TRANS,6000,PC,LU	0.0000 	0.0000 
HH,NETC_TRANS,6000,PC,LV	22.1000 	22.6600 
HH,NETC_TRANS,6000,PC,ME	17.1000 	17.0300 
HH,NETC_TRANS,6000,PC,MK	21.7770 	21.3103 
